model_name,accuracy,precision,recall,f1_macro,f1_weighted,confusion_matrix,roc_auc,auc_score,hyperparameters,rank
RandomForest_Top1,0.9179299529534762,0.9187054648756551,0.9179299529534762,0.8925050228939638,0.9182644772673964,"[[326, 55, 15], [64, 483, 2], [18, 3, 947]]",0.9863132398804719,0.9799814812755723,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",1
RandomForest_Top2,0.9179299529534762,0.9187054648756551,0.9179299529534762,0.8925050228939638,0.9182644772673964,"[[326, 55, 15], [64, 483, 2], [18, 3, 947]]",0.9863132398804719,0.9799814812755723,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",2
RandomForest_Top3,0.9189754312598014,0.9198310842373048,0.9189754312598014,0.8937422908422832,0.9193532593283809,"[[327, 56, 13], [63, 484, 2], [18, 3, 947]]",0.9863390788199017,0.9799841430124427,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",3
RandomForest_Top4,0.9189754312598014,0.9198310842373048,0.9189754312598014,0.8937422908422832,0.9193532593283809,"[[327, 56, 13], [63, 484, 2], [18, 3, 947]]",0.9863390788199017,0.9799841430124427,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",4
RandomForest_Top5,0.9147935180345008,0.9159710992805897,0.9147935180345008,0.8883268917400247,0.9152932048572616,"[[325, 58, 13], [68, 479, 2], [19, 3, 946]]",0.986024724758421,0.9795353455029281,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",5
XGBoost_Top1,0.9278619968635651,0.9289826256758824,0.9278619968635651,0.9053761327766091,0.9283615518408384,"[[335, 55, 6], [53, 494, 2], [19, 3, 946]]",0.9876721053254508,0.9817747932940001,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",1
XGBoost_Top2,0.9252483010977522,0.9265341983713794,0.9252483010977522,0.9017332618557562,0.9258192580508494,"[[332, 59, 5], [54, 493, 2], [21, 2, 945]]",0.9874833300313359,0.9814836508232614,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.9}",2
XGBoost_Top3,0.9247255619445897,0.9256915637777232,0.9247255619445897,0.9010098735249018,0.925159069713213,"[[329, 60, 7], [52, 495, 2], [21, 2, 945]]",0.987216961298497,0.9811015991199687,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",3
XGBoost_Top4,0.9278619968635651,0.9289342174037962,0.9278619968635651,0.9050470841842523,0.9283401444181776,"[[333, 58, 5], [51, 496, 2], [20, 2, 946]]",0.9871275544802528,0.9809554920452941,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'subsample': 0.8}",4
XGBoost_Top5,0.9294302143230528,0.9301977021089011,0.9294302143230528,0.9069538480742282,0.9297676611511033,"[[332, 58, 6], [48, 499, 2], [19, 2, 947]]",0.9876077552998641,0.9816385398590513,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100, 'subsample': 0.8}",5
SVM_Top1,0.894929430214323,0.8953843197805408,0.894929430214323,0.8592179332669291,0.8943207107233783,"[[280, 103, 13], [51, 496, 2], [31, 1, 936]]",0.9800816885277508,0.9707627889944904,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",1
SVM_Top2,0.894929430214323,0.8953843197805408,0.894929430214323,0.8592179332669291,0.8943207107233783,"[[280, 103, 13], [51, 496, 2], [31, 1, 936]]",0.9800816885277508,0.9707627889944904,"{'C': 100, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",2
SVM_Top3,0.894929430214323,0.8953843197805408,0.894929430214323,0.8592179332669291,0.8943207107233783,"[[280, 103, 13], [51, 496, 2], [31, 1, 936]]",0.9800816885277508,0.9707627889944904,"{'C': 100, 'degree': 4, 'gamma': 'auto', 'kernel': 'rbf'}",3
SVM_Top4,0.894929430214323,0.8953843197805408,0.894929430214323,0.8592179332669291,0.8943207107233783,"[[280, 103, 13], [51, 496, 2], [31, 1, 936]]",0.9800816885277508,0.9707627889944904,"{'C': 100, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}",4
SVM_Top5,0.894929430214323,0.8953843197805408,0.894929430214323,0.8592179332669291,0.8943207107233783,"[[280, 103, 13], [51, 496, 2], [31, 1, 936]]",0.9800816885277508,0.9707627889944904,"{'C': 100, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",5
KNN_Top1,0.8562467328802927,0.8535742174047478,0.8562467328802927,0.8112472059359589,0.8527655374079195,"[[232, 112, 52], [43, 504, 2], [56, 10, 902]]",0.9652374312435829,0.9525112898907108,"{'metric': 'manhattan', 'n_neighbors': 20, 'p': 1, 'weights': 'uniform'}",1
KNN_Top2,0.8562467328802927,0.8535742174047478,0.8562467328802927,0.8112472059359589,0.8527655374079195,"[[232, 112, 52], [43, 504, 2], [56, 10, 902]]",0.9652374312435829,0.9525112898907108,"{'metric': 'manhattan', 'n_neighbors': 20, 'p': 2, 'weights': 'uniform'}",2
KNN_Top3,0.8562467328802927,0.8535742174047478,0.8562467328802927,0.8112472059359589,0.8527655374079195,"[[232, 112, 52], [43, 504, 2], [56, 10, 902]]",0.9652374312435829,0.9525112898907108,"{'metric': 'manhattan', 'n_neighbors': 20, 'p': 3, 'weights': 'uniform'}",3
KNN_Top4,0.8562467328802927,0.8535742174047478,0.8562467328802927,0.8112472059359589,0.8527655374079195,"[[232, 112, 52], [43, 504, 2], [56, 10, 902]]",0.9652374312435829,0.9525112898907108,"{'metric': 'minkowski', 'n_neighbors': 20, 'p': 1, 'weights': 'uniform'}",4
KNN_Top5,0.858337689492943,0.8542739939978359,0.858337689492943,0.809712792451891,0.8535762097548786,"[[225, 116, 55], [49, 499, 1], [41, 9, 918]]",0.959566775443548,0.9441505920383481,"{'metric': 'manhattan', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",5
LogisticRegression_Top1,0.8792472556194459,0.8818563828833554,0.8792472556194459,0.8356406843646397,0.8761078766298587,"[[243, 135, 18], [36, 508, 5], [25, 12, 931]]",0.9738146288041556,0.9631379857692413,"{'C': 100, 'l1_ratio': 0.3, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",1
LogisticRegression_Top2,0.8792472556194459,0.8818563828833554,0.8792472556194459,0.8356406843646397,0.8761078766298587,"[[243, 135, 18], [36, 508, 5], [25, 12, 931]]",0.9738146288041556,0.9631379857692413,"{'C': 100, 'l1_ratio': 0.3, 'max_iter': 2000, 'penalty': 'l1', 'solver': 'liblinear'}",2
LogisticRegression_Top3,0.8792472556194459,0.8818563828833554,0.8792472556194459,0.8356406843646397,0.8761078766298587,"[[243, 135, 18], [36, 508, 5], [25, 12, 931]]",0.9738146288041556,0.9631379857692413,"{'C': 100, 'l1_ratio': 0.3, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}",3
LogisticRegression_Top4,0.8792472556194459,0.8818563828833554,0.8792472556194459,0.8356406843646397,0.8761078766298587,"[[243, 135, 18], [36, 508, 5], [25, 12, 931]]",0.9738146288041556,0.9631379857692413,"{'C': 100, 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}",4
LogisticRegression_Top5,0.8792472556194459,0.8818563828833554,0.8792472556194459,0.8356406843646397,0.8761078766298587,"[[243, 135, 18], [36, 508, 5], [25, 12, 931]]",0.9738146288041556,0.9631379857692413,"{'C': 100, 'l1_ratio': 0.5, 'max_iter': 2000, 'penalty': 'l1', 'solver': 'liblinear'}",5
